file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	-0.21058905017137533	0.41483237732946443	-0.550928643805952	1490	0	-0.21058905017137533
ja	Japanese	-0.15643908928020128	0.39016259871175185	-0.19574292867446555	81271	0	-0.15643908928020128
zh	Chinese	-0.18897138682573927	0.26343773442218854	-0.516643990777889	24325	0	-0.18897138682573927
en	English	-0.26802278945264996	0.6152676376533914	-0.47022257593870687	4923	0	-0.26802278945264996
es	Spanish	-0.26454426699052364	0.3024186332016242	-0.5842544269062967	1400	0	-0.26454426699052364
