file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
id	Indonesian	0.40655799111014573	0.39004293329695183	0.6845303494571219	1490	0	0.40655799111014573	0.4065579911101458	2.1267395229125927e-60	0.47284603571836187	3.683666253274181e-164	0.660679741263543	1.4507180151201377e-187
ja	Japanese	0.2701889658035555	0.396677272774278	0.5509732101491586	81271	0	0.2701889658035555	0.27018896580355567	0.0	0.4789719136226754	0.0	0.6555578490979381	0.0
zh	Chinese	0.24449988614652146	0.26244671111988416	0.6065647227393844	24325	0	0.24449988614652146	0.24449988614652163	0.0	0.3783817608436524	0.0	0.5341184372171639	0.0
en	English	0.3849617600989906	0.6379827165077807	0.6732991900194065	4923	0	0.3849617600989906	0.3849617600989906	1.178405924020417e-173	0.6203635659151395	0.0	0.8141174703097532	0.0
es	Spanish	0.3834607853398031	0.2995304334394864	0.751009387157262	1400	0	0.3834607853398031	0.38346078533980305	2.897142777022424e-50	0.37525627361150105	1.6832615735846217e-97	0.5362620476084923	4.60031888764488e-105
