file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
en	English	-0.16482974423162886	0.40362337903449574	0.4083304098803091	38130	0	-0.16482974423162886	-0.16482974423162874	2.1888363829409266e-230	-0.47150180347325693	0.0	-0.6583169890816535	0.0
es	Spanish	-0.19587696796517928	0.6631771810101357	0.3284085761373951	45190	0	-0.19587696796517928	-0.19587696796517934	0.0	-0.6335050485136342	0.0	-0.8185944987709225	0.0
zh	Chinese	-0.22189650166650443	0.34380695722467014	0.5556190777130855	12576	0	-0.22189650166650443	-0.22189650166650435	4.392576234271612e-140	-0.4127155341554624	0.0	-0.5845570880878614	0.0
