	Japanese
CSJ	31582
LaboroTV1+2	12928
OpenSubtitles	53796
GINI	23611
Wikipedia	5863
wordfreq	9576
TUBELEX\textsubscript{default}	7524
TUBELEX\textsubscript{base}	6744
TUBELEX\textsubscript{lemma}	5645
TUBELEX_entertainment	17643
TUBELEX_entertainment_L	14148
TUBELEX_entertainment_B	16558
TUBELEX_comedy	51125
TUBELEX_comedy_L	47281
TUBELEX_comedy_B	49876
