file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.3067112863608778	0.39113854226295985	0.5497193885692614	1490	0	0.3067112863608778
ja	Japanese	0.15624875981946423	0.39533923864536413	0.3697602318913911	81271	0	0.15624875981946423
zh	Chinese	0.13243875945298764	0.2617965004397612	0.39663985418416897	24325	0	0.13243875945298764
en	English	0.27521088117338105	0.6308984918135372	0.5354767917522827	4923	0	0.27521088117338105
es	Spanish	0.3024829882047748	0.29977798746850604	0.6166010374113822	1400	0	0.3024829882047748
