file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.6203864949108254	0.9552190269023103	1490	47	0.5835175450445175
ja	Japanese	0.5957240048608166	0.9540412503820654	81271	17643	0.482006898577836
zh	Chinese	0.44369998572924746	0.8665928043003565	24325	2866	0.38316563557804467
en	English	0.7650912735387412	0.9712195535899338	4923	143	0.7367055703848657
es	Spanish	0.5450360387164215	0.9708377923517555	1400	8	0.5302260046350242
