file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.6194850600156088	0.42769140736228006	0.8062447160606859	1490	0	0.6194850600156088
ja	Japanese	0.6545506571963293	0.43320021561746813	0.9087277741475164	81271	0	0.6545506571963293
zh	Chinese	0.4992613971932777	0.27257232610420734	0.8554785297528318	24325	0	0.4992613971932777
en	English	0.7473505863829686	0.6494637806563061	0.7936120178330586	4923	0	0.7473505863829686
es	Spanish	0.4471442933521262	0.30929506673374707	0.6733210002586012	1400	0	0.4471442933521262
