file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
en	English	-0.2233957619897746	0.5864518010347927	0.39146020405157644	570	0	-0.2233957619897746
es	Spanish	-0.11651865757853194	0.3667315081804692	0.2998379344314957	593	0	-0.11651865757853194
ja	Japanese	-0.37613044821635633	0.436874999324131	0.5176251709230897	570	0	-0.37613044821635633
