file	language	Pearson's r	MAE	MSE	R2
spanish_lcp_labels	Spanish	0.551269976479042	0.12998791528935852	0.026309702010417883	0.25560110108168177
english_lcp_labels	English	0.7480148866763139	0.09356801812616508	0.016625012690368746	0.5474557423449038
japanese_lcp_labels	Japanese	0.5978508392237366	0.13290504141185744	0.027782882278173448	0.356457992983665
