file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.4428474715237968	0.3892311612974606	0.7046464725495252	1490	0	0.4428474715237968
ja	Japanese	0.3532680310041367	0.3962436261110709	0.6684043785616905	81271	0	0.3532680310041367
zh	Chinese	0.37536604427879383	0.2605329279727895	0.8161357371837321	24325	0	0.37536604427879383
en	English	0.4366315860591565	0.6368384298715284	0.7249344619791721	4923	0	0.4366315860591565
es	Spanish	0.4080003949248358	0.2994171521145904	0.79071712058668	1400	0	0.4080003949248358
