file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.6103025223036137	0.9444629079355614	1490	46	0.5733254980121603
en	English	0.7650265849175987	0.9710348512338942	4923	141	0.7369150468007116
es	Spanish	0.5431631417234193	0.9683770646789389	1400	8	0.5282706179720038
