file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.22302401323476198	0.3900788367474063	0.4001862038909417	1490	0	0.22302401323476198
ja	Japanese	0.40260507584383576	0.38982087324007986	0.6076460380435955	81271	0	0.40260507584383576
zh	Chinese	0.30038779029042534	0.2588832596758215	0.5058909954319435	24325	0	0.30038779029042534
en	English	0.37530730962202175	0.6144985043323228	0.354888252027699	4923	0	0.37530730962202175
es	Spanish	0.24599610908422548	0.29888402317621876	0.39586441639618425	1400	0	0.24599610908422548
