file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
en	English	-0.5535246634814311	0.7560051213910719	38130	14727	-0.47695244085868127
es	Spanish	-0.5847609704292401	0.7159875011738166	45190	31820	-0.4571702088493656
