file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.2664578243110563	0.3894231819228843	0.4472619751347287	1490	0	0.2664578243110563
ja	Japanese	0.1748784771296221	0.39548925193866524	0.39941597575808696	81271	0	0.1748784771296221
zh	Chinese	0.16508815741219907	0.26547718733135084	0.49134195669018177	24325	0	0.16508815741219907
en	English	0.2962907960477711	0.6331878375426194	0.5655150030610193	4923	0	0.2962907960477711
es	Spanish	0.2868115495012293	0.30141038183520186	0.6110601218155628	1400	0	0.2868115495012293
