file	language	Pearson's r	MAE	MSE	R2
spanish_lcp_labels	Spanish	0.5866674613669747	0.12573715624367449	0.024621228122353612	0.30337428006446454
english_lcp_labels	English	0.7538241716728599	0.09353137814130195	0.01635678304303285	0.5547571374713588
