file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
en	English	-0.4294019593491109	0.5879066237912396	0.6526741229874586	570	0	-0.4294019593491109	-0.42940195934911074	5.6239771678763035e-27	-0.5733560282101977	4.797408712062112e-90	-0.7631769737539374	8.430187489081527e-110
es	Spanish	-0.33633970304577643	0.36323214494575207	0.6007227273714462	593	0	-0.33633970304577643	-0.33633970304577665	3.7761655952266755e-17	-0.4244303692673135	6.0089020488917416e-52	-0.5912964974013177	3.3995999580596205e-57
ja	Japanese	-0.2841372108700943	0.45644420359155313	0.6045121666063749	570	0	-0.2841372108700943	-0.2841372108700945	4.787090678095253e-12	-0.4954381242346072	1.0104578476795148e-67	-0.6751697596066514	4.33906255729523e-77
