file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.6101808091794171	0.8259460845975498	1490	34	0.5805687035612981
ja	Japanese	0.5194299149768052	0.8558039092252651	81271	14145	0.37996429949338945
en	English	0.7630103242480252	0.950716006076316	4923	122	0.7361856966544185
es	Spanish	0.5477530319619044	0.9384379836592881	1400	3	0.5387590168230441
