file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.39638055094160235	0.6278390155390049	1490	951	0.265605207312829
ja	Japanese	0.32998907242810793	0.7750552275808016	81271	51122	0.06220718698441202
zh	Chinese	0.1370945739152839	0.3969301889383361	24325	23111	-0.02352861250178651
en	English	0.6910831196376543	0.8995825005074228	4923	935	0.6524302301790009
es	Spanish	0.5408363214401739	0.8247608995983694	1400	249	0.48790360532507754
