file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
en	English	-0.33534371559955095	0.39382387923773443	0.5143287473416143	38130	0	-0.33534371559955095
es	Spanish	-0.594406937255657	0.6577007484806503	0.7251040339108126	45190	0	-0.594406937255657
zh	Chinese	-0.3898442869436164	0.33935458125911366	0.5371389195287959	12576	0	-0.3898442869436164
