	English
frequency	0.5218738746080994
range	0.5472532786653086
sort_gini	0.5252994055114182
juilland_d	0.5237719536816228
gries_dp	0.5220268716929543
rosengren_s	0.5313958778287424
s2	0.5393567871875684
carrol_d2	0.5293418259233784
lyne_d3	0.514734770297963
range_videos	0.5155525759756705
sort_gini_videos	0.515523772764825
juilland_d_videos	0.528737610198287
gries_dp_videos	0.5148841542122953
rosengren_s_videos	0.5148358449366901
s2_videos	0.5155056930574935
carrol_d2_videos	0.5353345262237972
lyne_d3_videos	0.5150443440824887
log_frequency	0.5147051561653984
log_range	0.5227635040448411
log_sort_gini	0.5247485419521567
log_juilland_d	0.5177596491250955
log_gries_dp	0.5195547250358434
log_rosengren_s	0.5231137612859309
log_s2	0.5276333740014637
log_carrol_d2	0.518536437944044
log_lyne_d3	0.5153085517362399
log_range_videos	0.5420727076835765
log_sort_gini_videos	0.5351956608729926
log_juilland_d_videos	0.5147365128610712
log_gries_dp_videos	0.5269336887707482
log_rosengren_s_videos	0.528600334204266
log_s2_videos	0.539506655864744
log_carrol_d2_videos	0.5149176040869922
log_lyne_d3_videos	0.5157861092305658
