file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
en	English	0.63928625866041	0.9646832488381214	4682	2	0.6408767756099236
es	Spanish	0.6089495944416192	0.981894858422135	820	16	0.5875996204375157
