file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.21579632619434053	0.3893982610654807	0.3656499164917003	1490	0	0.21579632619434053
ja	Japanese	0.36508072900630545	0.389489676584718	0.5539387487819305	81271	0	0.36508072900630545
zh	Chinese	0.26996937859215425	0.25927180106586	0.4354982380137561	24325	0	0.26996937859215425
en	English	0.36939628387421836	0.6125490482056335	0.35899282500472757	4923	0	0.36939628387421836
es	Spanish	0.31664541278063574	0.3045528478989019	0.44515974397993896	1400	0	0.31664541278063574
