file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.3336724754539228	0.39081764631500704	0.5861645544055254	1490	0	0.3336724754539228
ja	Japanese	0.17645661695645323	0.3948158531170295	0.3958570673075685	81271	0	0.17645661695645323
zh	Chinese	0.19298807692490735	0.26528550784347693	0.5393071129143086	24325	0	0.19298807692490735
en	English	0.29430543862055963	0.632671020703063	0.5619135177118135	4923	0	0.29430543862055963
es	Spanish	0.3073835840006938	0.30058551775427655	0.6361276678634024	1400	0	0.3073835840006938
