file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.1844739856542692	0.3906618513340182	0.35232666924109535	1490	0	0.1844739856542692
ja	Japanese	0.3781015733409553	0.3894478690360117	0.5765885034928938	81271	0	0.3781015733409553
zh	Chinese	0.27625371846566993	0.25839495380672883	0.4646456110003498	24325	0	0.27625371846566993
en	English	0.3370396026959133	0.6119425007940416	0.31942721189925677	4923	0	0.3370396026959133
es	Spanish	0.3338492841830895	0.3015604101267979	0.5151913968249316	1400	0	0.3338492841830895
