file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.5220622935458857	0.4085143574745811	0.6711404605748166	1490	0	0.5220622935458857
ja	Japanese	0.29554665684115466	0.3953999283682319	0.35328002481375587	81271	0	0.29554665684115466
zh	Chinese	0.4680144139895152	0.2626571106715837	0.8382096048036136	24325	0	0.4680144139895152
en	English	0.3597220904275753	0.6040855721809544	0.4271691138421451	4923	0	0.3597220904275753
es	Spanish	0.17785974800738724	0.30040685887693785	0.2354187158108025	1400	0	0.17785974800738724
