file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
en	English	-0.772703835822755	0.5981544808507964	0.9712815989255721	570	0	-0.772703835822755	-0.7727038358227545	3.318055796668246e-114	-0.5603812617595649	3.7847156785106e-86	-0.7483642075259478	2.380634177462831e-103
es	Spanish	-0.595366244021659	0.36278938930482574	0.9775994825531586	593	0	-0.595366244021659	-0.5953662440216593	3.7321241611137144e-58	-0.41270606406801447	3.058780943035876e-49	-0.5779483248790912	3.8422367348703926e-54
ja	Japanese	-0.6356947753371337	0.43540352905999424	0.9652156414146178	570	0	-0.6356947753371337	-0.6356947753371337	7.376102157146931e-66	-0.48107344251760864	5.376507407886373e-64	-0.6570867037676654	9.825379842784918e-72
