file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
en	English	0.6669323905649411	0.8720674243779086	4682	547	0.6256482635258074
es	Spanish	0.5011372263331163	0.7952721417686122	820	319	0.37678849194099545
ja	Japanese	0.356355955538326	0.7555218627074353	76883	52339	0.14217781100737925
