file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.3884310569470864	0.6074202861783937	1490	963	0.2344949530547874
en	English	0.6917032107320473	0.8996217289248337	4923	928	0.6528725538026156
es	Spanish	0.5396921181101121	0.8242746252305286	1400	249	0.483573481135639
