file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.42671973759268295	0.3896637329774959	0.7072089295510323	1490	0	0.42671973759268295
ja	Japanese	0.2882684296565114	0.39642943539891573	0.5757202151855273	81271	0	0.2882684296565114
zh	Chinese	0.2600266183598046	0.26220479668292607	0.6317671718530434	24325	0	0.2600266183598046
en	English	0.40272268846299564	0.6384146365403929	0.6928430595814126	4923	0	0.40272268846299564
es	Spanish	0.3931067543085892	0.29955937865655846	0.7676111819330522	1400	0	0.3931067543085892
