	English
frequency	0.3291470414590406
range	0.3386040892824973
sort_gini	0.3355802309249335
juilland_d	0.3310378233440469
gries_dp	0.3315506010966553
rosengren_s	0.3348652192701496
s2	0.3395746411063227
carrol_d2	0.3328346429696919
lyne_d3	0.3284030923866027
range_videos	0.3283898610869824
sort_gini_videos	0.3285806792631353
juilland_d_videos	0.328324617388697
gries_dp_videos	0.329068875085967
rosengren_s_videos	0.3284253039763189
s2_videos	0.3284743381569039
carrol_d2_videos	0.3301484221077202
lyne_d3_videos	0.3287821734541316
log_frequency	0.3283185906564192
log_range	0.3297196452294995
log_sort_gini	0.3323692694493296
log_juilland_d	0.3288571094256844
log_gries_dp	0.3293587905816845
log_rosengren_s	0.3301470476097269
log_s2	0.331781555717656
log_carrol_d2	0.3289780460509041
log_lyne_d3	0.3286573126623954
log_range_videos	0.3355794153259722
log_sort_gini_videos	0.3316629644366105
log_juilland_d_videos	0.3290246785077267
log_gries_dp_videos	0.332644888719081
log_rosengren_s_videos	0.3328654166018869
log_s2_videos	0.3330484024282222
log_carrol_d2_videos	0.3288134048221837
log_lyne_d3_videos	0.3288551793481898
