	English
frequency	0.1204016132752972
range	0.7404776936216791
sort_gini	0.6564509372531098
juilland_d	0.6049863546197526
gries_dp	0.5358928603002305
rosengren_s	0.6353034712607847
s2	0.7269186019403983
carrol_d2	0.667203915499471
lyne_d3	0.3438648949157076
range_videos	0.5925733233223801
sort_gini_videos	0.5252797363404177
juilland_d_videos	0.6522950103512677
gries_dp_videos	0.6660494298488128
rosengren_s_videos	0.6189462586334774
s2_videos	0.5606250467169488
carrol_d2_videos	0.7551210574672436
lyne_d3_videos	0.324458702797515
log_frequency	0.7516419651203258
log_range	0.6760774729218064
log_sort_gini	0.671021092745562
log_juilland_d	0.5525375959340147
log_gries_dp	0.5178394645237943
log_rosengren_s	0.5775645565692151
log_s2	0.6959625169184417
log_carrol_d2	0.5874569052145603
log_lyne_d3	0.2695860504187519
log_range_videos	0.7862089953932367
log_sort_gini_videos	0.7657561226772263
log_juilland_d_videos	0.3842169526473543
log_gries_dp_videos	0.7820173305558134
log_rosengren_s_videos	0.780761244574583
log_s2_videos	0.7772836573020229
log_carrol_d2_videos	0.5447314607043553
log_lyne_d3_videos	0.2339967971111141
