file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
en	English	-0.37392798662522725	0.39389477965821806	0.5738186878866702	38130	0	-0.37392798662522725	-0.3739279866252271	0.0	-0.4481853647417866	0.0	-0.6303668287906935	0.0
es	Spanish	-0.6311407538570384	0.6578899023789053	0.7651071373837787	45190	0	-0.6311407538570384	-0.6311407538570382	0.0	-0.6070736863356139	0.0	-0.7953579559157069	0.0
zh	Chinese	-0.4837549814992502	0.34495151729386975	0.6878781488956965	12576	0	-0.4837549814992502	-0.48375498149925045	0.0	-0.384547873512353	0.0	-0.5486431960996918	0.0
