file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
id	Indonesian	0.1247068611320356	0.39155351526076465	0.27408441362814395	1490	0	0.1247068611320356	0.12470686113203569	1.3751721528629658e-06	0.46340789024329504	5.51944926325786e-158	0.6496118047146708	2.3952042689591168e-179
ja	Japanese	0.3303673736064036	0.3890583255783948	0.5144401434655548	81271	0	0.3303673736064036	0.33036737360640356	0.0	0.48243704239318597	0.0	0.6629766401664303	0.0
zh	Chinese	0.21449909486940208	0.257219856290249	0.3664262024028339	24325	0	0.21449909486940208	0.21449909486940202	3.981925011394985e-251	0.3482066795697115	0.0	0.5013231276494982	0.0
en	English	0.2781448115382536	0.6090793350532189	0.2623009297443953	4923	0	0.2781448115382536	0.2781448115382536	3.6918443717961124e-88	0.6061504949746626	0.0	0.8012444567142357	0.0
es	Spanish	0.23505864211719757	0.29880520192411564	0.3775130888861612	1400	0	0.23505864211719757	0.23505864211719757	4.994250919916848e-19	0.349253382259551	9.241888585221633e-85	0.5026022478657473	1.7255209095498806e-90
