file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
en	English	-0.6349905453662693	0.40361884452428554	0.9921681533825139	38130	0	-0.6349905453662693	-0.6349905453662692	0.0	-0.47854273956548704	0.0	-0.6653404892800253	0.0
es	Spanish	-0.819218410996718	0.6728922138593154	0.9950358748124116	45190	0	-0.819218410996718	-0.8192184109967179	0.0	-0.6408781181373644	0.0	-0.8228608901516149	0.0
zh	Chinese	-0.5815647831572265	0.3385865547453245	0.9807585159190501	12576	0	-0.5815647831572265	-0.5815647831572266	0.0	-0.43611609267549734	0.0	-0.6114383693950577	0.0
