file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
en	English	-0.7062425742045421	0.5799820644257598	0.9189268576727694	570	0	-0.7062425742045421
es	Spanish	-0.5755683960005695	0.3629795427065311	0.9369575589557795	593	0	-0.5755683960005695
ja	Japanese	-0.6511733616226062	0.440055986805579	0.9532906782076689	570	0	-0.6511733616226062
