lang	1	2	3	4	5	fastText
en	446580	12992545	54009192	99828188	126809706	134389
es	617261	15553808	62605701	113324579	138814294	197398
ja	414682	11057439	46438494	86505455	113342790	146033
id	301022	6791477	20826584	28893949	30954674	81842
zh	433197	5772143	12638428	15250159	15151588	114199
