file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.6479067403965109	0.4190027647826511	0.9639504581763837	1490	0	0.6479067403965109
ja	Japanese	0.5777657393126703	0.3890558833891442	0.932774904844311	81271	0	0.5777657393126703
zh	Chinese	0.4834452891216132	0.2593174948294408	0.9094112166010817	24325	0	0.4834452891216132
en	English	0.7385570325357738	0.6042331092646549	0.9624663815857556	4923	0	0.7385570325357738
es	Spanish	0.5467945949701606	0.30051127122793886	0.9827895020741161	1400	0	0.5467945949701606
