file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
spanish_lcp_labels	Spanish	-0.6181833562147951	0.8544829032910114	593	65	-0.5223059083189725
english_lcp_labels	English	-0.6962492562863549	0.8724040078767682	570	38	-0.6105592355616803
