file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	-0.1105743705478502	0.3896805374732194	-0.21077133733449402	1490	0	-0.1105743705478502
ja	Japanese	-0.009192247600285485	0.3889450104989808	-0.019873822032835265	81271	0	-0.009192247600285485
zh	Chinese	-0.02366163954117152	0.25627552603765624	-0.05686687950259285	24325	0	-0.02366163954117152
en	English	-0.08104452410752282	0.6044653729213793	-0.15082712309861576	4923	0	-0.08104452410752282
es	Spanish	-0.028421706472678446	0.2978443899647957	-0.05158230070017839	1400	0	-0.028421706472678446
