file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
en	English	-0.5310308286237082	0.5816537183975197	0.6535828636816753	570	0	-0.5310308286237082	-0.531030828623708	8.668690437074483e-43	-0.38368943575480474	2.3851401482738125e-41	-0.5359871285418213	1.0523247315904473e-43
es	Spanish	-0.3658059667650763	0.36235106015076435	0.5871224393240226	593	0	-0.3658059667650763	-0.36580596676507665	3.252300056896746e-20	-0.3426247686544911	1.773481752030578e-34	-0.48694300700952636	1.238995535552174e-36
ja	Japanese	-0.326001026115937	0.4379118136547293	0.5569887543557751	570	0	-0.326001026115937	-0.3260010261159369	1.4023212231989785e-15	-0.23414823553462202	2.0293870520690972e-16	-0.33864739014602985	9.232586478951025e-17
