file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
en	English	-0.622503822369623	0.5905632323372859	0.722483681195247	570	0	-0.622503822369623	-0.6225038223696227	1.841408705006074e-62	-0.38832997524768303	2.6011574399527413e-42	-0.5437622064691127	3.585267163545769e-45
es	Spanish	-0.47109902173090085	0.36911661750216296	0.6791934057069642	593	0	-0.47109902173090085	-0.4710990217309009	4.321449428171872e-34	-0.3373061643972676	1.8131854321425017e-33	-0.48088882634086294	1.2032161852338888e-35
ja	Japanese	-0.3674314395219473	0.4368240294418755	0.6025810236058748	570	0	-0.3674314395219473	-0.3674314395219474	1.1651582805640954e-19	-0.26945205299966807	3.0874185347660103e-21	-0.38567776171407303	1.1768016977190224e-21
