file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
en	English	-0.2322282940576783	0.5861590222866999	0.40045668621151925	570	0	-0.2322282940576783	-0.23222829405767853	2.0342363659038856e-08	-0.5318781479951021	8.535939170736131e-78	-0.7141087554188631	4.989099343227374e-90
es	Spanish	-0.12180979421504932	0.3666806247513549	0.30772932205136055	593	0	-0.12180979421504932	-0.12180979421504945	0.002967601165846095	-0.4136126760881036	1.8914825456683368e-49	-0.5786937140573006	2.616891021445766e-54
ja	Japanese	-0.2729316262619656	0.43940445311493526	0.49661774867488284	570	0	-0.2729316262619656	-0.27293162626196554	3.4004346261518056e-11	-0.39366894705420513	1.9078250407770216e-43	-0.5486850173883135	4.0296673487133765e-46
