lang,videos_all,videos_valid,ids,files,files_short,files_little_chars,files_little_lang,files_valid,rm_tags,lines,lines_ws,lines_no_chars,lines_valid,cues,cues_empty,cues_repeated,cues_scrolling,dedup_removed,dedup_valid,replaced_cc_desc,replaced_email,replaced_censored,replaced_web,replaced_handle,default:types,default:tokens,base_pos:types,base_pos:tokens,lemma_pos:types,lemma_pos:tokens,regex:types,regex:tokens,treebank:types,treebank:tokens,pos:types,pos:tokens
ja,4970247,453125,120000,119909,6203,3984,8118,101604,29428,18415309,2,37549,18377758,14013329,84379,31488,18241,944,100660,250712,106,2678,1285,536,409503,163439781,386727,165932178,337756,165937400,,,,,,
en,4748327,1035009,120000,119993,4379,191,9459,105964,25790,18453829,11,2536,18451282,14733237,22183,16149,98991,231,105733,185302,1659,31098,23124,1609,467296,170750870,,,433545,170764637,445952,179139158,613309,171805865,,
zh,5848257,179513,120000,110237,3967,5479,90621,10170,5705,1959425,0,819,1958606,1322676,3680,610,307,26,10144,1157,3,,181,23,433325,18021001,,,,,,,,,328254,18435056
es,3840068,216985,120000,119960,4019,16,8805,107120,10539,15277445,0,293,15277152,12513143,24316,12243,3004,495,106625,128424,457,37655,8098,1368,632112,169188689,,,527060,169188635,616971,168456930,,,,
id,5265240,401875,120000,116708,21305,37,60579,34787,502,3146049,0,159,3145890,2674532,13701,3288,30,136,34651,22282,51,522,4349,403,309149,35534309,,,266827,34904605,300778,35501746,,,,
