file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.11636047482992004	0.39159177254569666	0.26159723337463153	1490	0	0.11636047482992004
ja	Japanese	0.32485685693948324	0.3890380579930901	0.5068403312384436	81271	0	0.32485685693948324
zh	Chinese	0.2049360559434556	0.25713236611722634	0.3498040125231182	24325	0	0.2049360559434556
en	English	0.27097251502230857	0.6087639845655024	0.2554637646819877	4923	0	0.27097251502230857
es	Spanish	0.2175488036280422	0.3016019797897205	0.29074060022106424	1400	0	0.2175488036280422
