file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
id	Indonesian	0.5029057890521722	0.4185066722729476	0.5826968011801961	1490	0	0.5029057890521722	0.5029057890521724	2.5167874579587252e-96	0.34110867937227524	1.695493156104451e-86	0.4927825596200063	5.4942668776074534e-92
ja	Japanese	0.6214902562611341	0.42527507019880784	0.8228107659572975	81271	0	0.6214902562611341	0.6214902562611343	0.0	0.4457604393550896	0.0	0.6245427026715697	0.0
zh	Chinese	0.4408188446139699	0.2751131649602039	0.6691133391915405	24325	0	0.4408188446139699	0.4408188446139698	0.0	0.2918966760797989	0.0	0.4249758787375642	0.0
en	English	0.6595947085387557	0.6316920200158	0.6922099483997949	4923	0	0.6595947085387557	0.6595947085387556	0.0	0.42517178183169996	0.0	0.5951722460861333	0.0
es	Spanish	0.3323973440221404	0.30421343026027337	0.4800675641315419	1400	0	0.3323973440221404	0.3323973440221405	1.8285496896435432e-37	0.21680987066518081	9.27049571351134e-34	0.3202539363818803	9.350987786566827e-35
