file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.2210482019482364	0.389749134787314	0.31892146805764493	1490	0	0.2210482019482364
ja	Japanese	0.01788292734296103	0.38903217256945877	0.044484649049578814	81271	0	0.01788292734296103
zh	Chinese	0.32524493392332493	0.2562652432377308	0.6484665432046692	24325	0	0.32524493392332493
en	English	0.15911832947757426	0.6046500041741008	0.25339262959323616	4923	0	0.15911832947757426
es	Spanish	0.031161094948579743	0.2989682685630156	-0.004279859196771648	1400	0	0.031161094948579743
