file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.6179963030812291	0.8674022163075216	1490	8	0.6168535735184656
ja	Japanese	0.6374947693358364	0.8954088638556953	81271	5645	0.6006512999059136
en	English	0.773810017059001	0.9785824603981519	4923	34	0.7608466121267476
es	Spanish	0.5505600327705797	0.9659371003115738	1400	0	0.5505600327705797
