file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
en	English	-0.5223360380124505	0.8046697460105239	38130	18296	-0.4629650387213775
es	Spanish	-0.566280981037957	0.7066754830940368	45190	34125	-0.4907865867910337
