file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
en	English	-0.6680232726052167	0.5927264556543503	0.7836502134783477	570	0	-0.6680232726052167	-0.6680232726052165	6.292313892540484e-75	-0.41924450150575904	5.019631687804558e-49	-0.5805674386128555	1.143366286854576e-52
es	Spanish	-0.5249649163238848	0.3748935978064355	0.7452647707699112	593	0	-0.5249649163238848	-0.524964916323885	2.628176197948741e-43	-0.36557386225440597	5.160065227275412e-39	-0.5190734096753873	3.232783782547165e-42
ja	Japanese	-0.43589635492607326	0.4365340503709637	0.6971049227498295	570	0	-0.43589635492607326	-0.43589635492607365	7.778386894110401e-28	-0.3085647447354874	2.4049853216198173e-27	-0.43842948219151245	3.5539102785044987e-28
