file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing	r	r_p	rho	rho_p	tau	tau_p
en	English	-0.4754564501287846	0.3957516855568183	0.7054930172894407	38130	0	-0.4754564501287846	-0.47545645012878446	0.0	-0.4070568382226026	0.0	-0.5818141754500094	0.0
es	Spanish	-0.6922626907476339	0.6594594926244286	0.8236123439449377	45190	0	-0.6922626907476339	-0.6922626907476339	0.0	-0.596452273078383	0.0	-0.7920272430977265	0.0
zh	Chinese	-0.5166266983058903	0.3552740142906735	0.7025392755327179	12576	0	-0.5166266983058903	-0.5166266983058904	0.0	-0.3809221404012711	0.0	-0.5455582957570072	0.0
