file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
en	English	-0.521712555869411	0.8060616257401962	38130	18329	-0.4625686205657653
es	Spanish	-0.5633891088553896	0.711244864016478	45190	34046	-0.47812933641064786
zh	Chinese	-0.1705527955806608	0.4197981626465486	12576	11750	-0.012530305413622541
