file	language	correlation	adjusted_r2	corr_tubelex	n	n_missing	corr_without_missing
id	Indonesian	0.6485627522880373	0.42224015543768567	0.9365641316175131	1490	0	0.6485627522880373
ja	Japanese	0.6150214871312567	0.39204892701355976	0.9615903583779383	81271	0	0.6150214871312567
zh	Chinese	0.497873611190166	0.26437667804044274	0.9093214650648963	24325	0	0.497873611190166
en	English	0.795000857596966	0.6322703990241569	0.9710429126822288	4923	0	0.795000857596966
es	Spanish	0.5117766235609383	0.299825955192791	0.9591820367710939	1400	0	0.5117766235609383
