	Japanese
CSJ	81271
LaboroTV1+2	81271
OpenSubtitles	81271
GINI	81271
Wikipedia	81271
wordfreq	81271
TUBELEX\textsubscript{default}	81271
TUBELEX\textsubscript{base}	81271
TUBELEX\textsubscript{lemma}	81271
TUBELEX_entertainment	81271
TUBELEX_entertainment_L	81271
TUBELEX_entertainment_B	81271
TUBELEX_comedy	81271
TUBELEX_comedy_L	81271
TUBELEX_comedy_B	81271
