file	language	correlation	corr_tubelex	n	n_missing	corr_without_missing
en	English	0.446212681662618	0.8519173683454287	4682	2	0.44739373499591745
es	Spanish	0.4299646395373649	0.8709392718077063	820	14	0.3996723804359021
