,CSJ,LaboroTV1+2,OpenSubtitles,Wikipedia,wordfreq,TUBELEX\textsubscript{default},TUBELEX\textsubscript{base},TUBELEX\textsubscript{lemma}
CSJ,0.0,0.4968965448970124,0.7655156733309089,0.5399088221811984,0.4959475840532244,0.4735445423548276,0.43005024435374184,0.29649292380569553
LaboroTV1+2,0.4968965448970124,0.0,0.7407637276058735,0.4185001576136166,0.26681828993499995,0.2693217752228532,0.3670759150606904,0.48934234830246404
OpenSubtitles,0.7655156733309089,0.7407637276058735,0.0,0.7471212833632065,0.7225940317989566,0.7347241620508639,0.7553618997555901,0.751567025177546
Wikipedia,0.5399088221811984,0.4185001576136166,0.7471212833632065,0.0,0.3648139043448401,0.41022508608133496,0.4580898720112944,0.5396148184812506
wordfreq,0.4959475840532244,0.26681828993499995,0.7225940317989566,0.3648139043448401,0.0,0.26292731239723277,0.35093675810247404,0.47338722599294747
TUBELEX\textsubscript{default},0.4735445423548276,0.2693217752228532,0.7347241620508639,0.41022508608133496,0.26292731239723277,0.0,0.2614825779186327,0.44472094873957374
TUBELEX\textsubscript{base},0.43005024435374184,0.3670759150606904,0.7553618997555901,0.4580898720112944,0.35093675810247404,0.2614825779186327,0.0,0.3941710821534655
TUBELEX\textsubscript{lemma},0.29649292380569553,0.48934234830246404,0.751567025177546,0.5396148184812506,0.47338722599294747,0.44472094873957374,0.3941710821534655,0.0
