Language	Embeddings	Sem.: Geography	Sem.: Family	Semantic	Syntactic	Total
English	Wikipedia	0.775000	0.822000	0.778000	0.721000	0.747000
English	OpenSubtitles	0.144000	0.852000	0.184000	0.757000	0.497000
English	TUBELEX	0.142000	0.626000	0.170000	0.628000	0.420000
Spanish	Wikipedia	0.466000	0.863000	0.484000	0.572000	0.524000
Spanish	OpenSubtitles	0.087000	0.892000	0.125000	0.516000	0.301000
Spanish	TUBELEX	0.064000	0.839000	0.101000	0.501000	0.281000
