videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
0-1Okq3YY1E,True,True,2,Sports,148,18877,20230716,UCrashldbYkamCc4j1rBIWPQ,@timnasfanatik,id
01qZ_oi8RJ0,True,True,2,People & Blogs,143,111,20230129,UCNfOc5ZXPxvIq_Zhm4ESjug,@Jadilah.Terang,id
01SKN5DpkbM,True,True,2,People & Blogs,279,1084,20211217,UCqoH4vxzuCDBBlNzJiZrKJw,@dedafarid1217,id
01t5AjYCtoc,True,True,3,People & Blogs,828,42,20230905,UCNqBp90---XQ27nTFmp-6bQ,@pilusmeow2924,id
01V5wPgAlU0,True,True,1,Travel & Events,607,198,20230218,UCzTkS0qGXGdrCPcVJysCbZQ,@pernolotv8064,id
01voo89YDO8,True,True,1,Sports,363,797,20210801,UCyTg2BmTD64VFEcHhv65P3A,@DHPbike,id
01WQn4LVXu4,True,True,1,People & Blogs,60,521,20230515,UCgpRCl1rnNXe0NEP6MHUd0A,@yunitadesyw,id
0_1W-w_LRUI,True,True,1,Education,691,3247,20210829,UCjHMXWIr8JkePxWJbZqMQgA,@Almamimid19,id
01WYOAV_l6g,True,True,2,Howto & Style,285,284,20220414,UCoB0CdSIPFwzkADiy1vnXKA,@SyamsiTutorial,id
01X_l94mJc4,True,True,1,Film & Animation,700,2894,20220127,UCWLZCMRmjT1q5gSCU-_pEBQ,@FahmiDayan,id
01X_QvJSl3s,True,True,4,Education,60,706,20211031,UCu7uHcLXIomqzd5jX6W-u9w,@SobatPembelajar,id
01xVWkSiiK8,True,True,1,Howto & Style,513,6853,20230318,UChWENnynfY2OtJHSGMFV8jA,@VicProjectContinue,id
01YyUt8Jq6A,True,True,10,People & Blogs,39,456,20231023,UCSySorH_6X7pqyJtNmwd4Fg,@matadetik,id
01z70gaPzbY,True,True,5,Science & Technology,271,814,20221227,UCOe3HapmiOW-hYRr_bnSb9w,@masuwaistutorial9847,id
01zp3a5e6IE,True,True,12,People & Blogs,383,1083,20211006,UCFxMVRpk--_LUWbHQVaVKSA,@DWProfit,id
020GbcktehA,True,True,2,People & Blogs,1196,1093,20220531,UCyuDmvEr6LbVeWGgLsx0sxQ,@danstv6754,id
020n1CO2U8o,True,True,1,News & Politics,42,5821,20231115,UCFnVU_MP5_bRdBDDyPBJUSA,@Sekitarkita853,id
020PzC-Esrg,True,True,1,Education,295,235,20220208,UCCQGMMt0tPwwhOONlfdcO8g,@syukronramadloni,id
023WSUkhLWE,True,True,9,Howto & Style,417,22235,20230417,UC33aI8GR59wc3rqRAEfuk3Q,@bekebun78,id
0257TPXJf1E,True,True,1,People & Blogs,773,13239,20230830,UCVuhl0VbJuZ1qDoOV1_uLQA,@anandagagarin,id
026dGOf_tas,True,True,1,People & Blogs,265,2124,20220621,UC4fzG3zKu0cbQMkNvcCcFhw,@unidzalikaupdate,id
026DY-RmcV8,True,True,1,Entertainment,15,633,20221211,UCKbUZegDfhsSpB5WcpB39Yg,@berita-terbaru-selebriti,id
026wgple9e0,True,True,2,People & Blogs,409,3238,20221102,UCru_GfDmnVaUSuPJUZQWbzQ,@ejewarja269,id
028HI2kD0zI,True,True,10,People & Blogs,381,131951,20210530,UCG973hhoYcgRFkmmke3bywQ,@KaryaTaniIndonesia,id
02Agrjf-920,True,True,5,Pets & Animals,971,22638,20220308,UC_PnN-Xh1ZjZsjm-HKYJAqg,@IndraYusaChannel,id
02cSEYlf30g,True,True,1,People & Blogs,204,96,20230314,UCsNUVWxKWAx8u8lVmSPT8fg,@Sahabat.Alip_Official,id
02DQXWRMPew,True,True,2,Education,452,487,20230617,UCKLHhVr3AB-Ls9lG6XuMh0w,@harriesta,id
02eCN_Zbmpk,True,True,1,News & Politics,41,27,20230530,UCk0zW0NPNwT-WUDt_W6j9mA,@Meuhaba,id
02eyRtiFyp8,True,True,1,People & Blogs,198,11,20231031,UCdlwT-tOh73JY9gfjlm_PmA,@agung09channel12,id
02fNz1xRe6g,True,True,2,People & Blogs,725,632,20210817,UCgnPoqNbjvf68mxaM1jYvlA,@anggreksolis,id
02igDJvVJI4,True,True,12,People & Blogs,354,2768,20230616,UCYv_qsa8279angZQqqW3nRA,@meisoleha,id
02jEr-YGNGQ,True,True,2,People & Blogs,29,1035,20231027,UC2kaQjLXcrh9p1DzsUs9Hkw,@suararakyat1961,id
02kj3YSERs8,True,True,3,People & Blogs,485,158,20210610,UCvgIS2bbOpHxoULC-WH3eZQ,@edwarpemalang,id
02KozfZDlTM,True,True,1,People & Blogs,663,40,20210829,UCvjp5hU98Wcu-0hTFuefreg,@alinkakeychannel8295,id
02LIzHfO-ZM,True,True,1,Science & Technology,897,470,20220808,UCNDPQGDYpgaglAp7eFBo_sQ,@androbuntu,id
02M4ahazNrA,True,True,6,Film & Animation,590,14404,20230811,UC5-R6fguO6sunqNEeKPZ97Q,@Wongndeso_57,id
02MB9s9R_Qs,True,True,1,Education,216,140,20211005,UCXf1MzaDgzJ9ehWMfDRCNbw,@ChannelTV21,id
02OnAIXgzWg,True,True,2,Howto & Style,230,57382,20210602,UCBB1ALAR7sIGOS-yZImirUQ,@TutorialBungDars123,id
02Q0CxghLHg,True,True,1,Science & Technology,54,78,20221116,UC5Upf1yAy4c5Fa61Atg09fQ,@InfoSore,id
02qMAXMEO5E,True,True,2,Howto & Style,346,28292,20220518,UCL_js7Q_1fIqIaU77n43rPQ,@Insariam,id
02qyijqM3T8,True,True,1,Education,249,500,20220828,UCtBTFU9lchdWV0ff1gJc_-Q,@aksaradinusantara2494,id
_02S4LCP_ZY,True,True,1,Sports,191,16508,20200807,UCnDwgJ7Xoafzyw9kK3FGxDA,@taubola,id
-02TxgirtHE,True,True,2,Travel & Events,721,152,20230501,UCt4bN_sNDptLFX6zBPCDwWg,@lovelyholidays,id
02UKHFk7_5Y,True,True,1,News & Politics,144,325,20230116,UCMfKw_M2UiH-FX8XZMGaXMQ,@infoselebb,id
02ULZUzWfs8,True,True,1,People & Blogs,635,88,20230220,UC7gXB-UihQxQp-iJ4R4L-Yw,@moohadth.naufal,id
02v-1jTKrts,True,True,2,Howto & Style,808,33341,20210813,UCwn6nDVtiu8jtsjJeFMy2fw,@gowayelektro,id
02V8B8rILZM,True,True,1,News & Politics,71,696,20230908,UCzl0OrB3-ehunyotIQvK77A,@metrotvnews,id
02vcUIWpu3g,True,True,5,Education,655,15,20230908,UCDczXWvbAR7azCXWDypMgSA,@agussmkn2madiun,id
02VfoDlkyI8,True,True,2,Pets & Animals,249,96,20211126,UC8P3aHLC_Heck83JDZnjQgw,@s.yunaeza6080,id
02xyBC1XJ4M,True,True,2,Pets & Animals,470,8469,20221006,UCuH12T1IgACyuUOsoS3gcyA,@pamanjambros,id
02z6QJ27pM0,True,True,3,People & Blogs,650,1524,20220919,UC95PJCTVALbOdNGP-dzDmgg,@JuyThamrin,id
02Zlg3uMaos,True,True,13,News & Politics,2542,1141,20220613,UCaTLXDMaSSpMNkvWtmIx1vg,@banglamo,id
0305EWKKjDo,True,True,1,Education,6775,341,20210209,UCF2I8NBc1DD1X4_KX-fFRyg,@JimlySchoolofLawandGovernment,id
036OQwrGDTM,True,True,24,Travel & Events,621,12078,20230104,UCGrMzaP34lkTMqMyPm4jIrg,@Welding399,id
038fFeQxEZQ,True,True,2,Howto & Style,454,545709,20181212,UCtMUw9qZ_9VuS2eL_Rvzo3w,@sb30health,id
0392xuqlVo4,True,True,2,People & Blogs,56,642,20230406,UCumHSywhKISGc5_Z9KxohOA,@Belajar_Fisika_Pemula,id
0394H5JWROE,True,True,2,Autos & Vehicles,429,678,20220109,UC_6LnAkNjUURppqL6aFjZXQ,@KANGBEWOK96,id
03a4bUUivY0,True,True,2,News & Politics,136,7890,20220819,UCKyaiByz7pmILfgdOR6DjhA,@hariini20,id
03anjdSpz4I,True,True,2,People & Blogs,2112,562,20220227,UC_YvvGEY6oxLiz6Fb7KnzDQ,@tempegosong1967,id
03bmCtzY2lc,True,True,1,People & Blogs,307,18,20211205,UC8XATe9LmSeV6sbuyvfhGgA,@sambonulukaschannel3375,id
03BWqDc33es,True,True,43,Howto & Style,485,329124,20210309,UCt4ws-cwI2E6bZNqc1GEpcg,@VettyAyuDIY,id
03EU0UXMD-E,True,True,1,Autos & Vehicles,410,417,20211028,UCgMfHWzSF98EZK5WRjjtKgA,@berrymitsubishisolo,id
