videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
00jKvrUs8Ug,True,True,1,Gaming,1229,130,20221027,UCDpW8fLhPFK5q6C7KMarUWw,@HanamiyaNeku,ja
00J-nzDTUsU,True,True,12,Howto & Style,452,7295,20180214,UCo2ihXJbaEhTJjfDyHjtEyA,@charisumaflower2,ja
00JP5PGHqkI,True,True,1,People & Blogs,81,262,20170903,UCWZUAOOxwu9R6LRS-ICYXXQ,@user-cv4th2vj9u,ja
00-JT3irpxw,True,True,1,People & Blogs,1063,2012,20230830,UC0USXDKIyT9oGQWGGCITQPg,@kensatsu-channel,ja
00kgVLOIjjw,True,True,1,Film & Animation,616,12322,20230412,UCzlBmQCEObk4HIWJ7pRrsHQ,@kowakunotsuboDX,ja
00kJX3mzze0,True,True,1,Education,212,10586,20180309,UCDQc7iivx7a-FwXFzSoK45w,@MIKI-LAB,ja
00kNCv9hwiM,True,True,20,Education,501,3983,20221231,UCZwzARQQl05twIbbDpiOjYg,@tane.bonsai,ja
00KNn_CDiQs,True,True,1,Entertainment,198,140,20201125,UCpYnehILrWloxPSNLgzsUEw,@hide5602,ja
00kt_60BYkQ,True,True,2,Howto & Style,287,430,20210823,UCaoPLnSRMz5L0APRuE5n6ig,@Ouchi_Sweets,ja
00LpkpNwerM,True,True,2,Howto & Style,56,10,20231027,UCXQ6dst6byaQy-mwXdfRNEA,@LightofIslamJp,ja
00mvYRFN5JQ,True,True,2,Entertainment,181,7537,20230126,UC-g-w1lS2yYmOLKV6UPrR_A,@gomadango,ja
00mYMH88sXg,True,True,1,News & Politics,185,12,20210611,UCfSU23JDpGaEneSWPwGnpuQ,@ch.9925,ja
00OlGVNnI6c,True,True,3,Entertainment,1307,868666,20200413,UC1cHlPIE-kqiPvpyYz2O8rQ,@juniorchannel_yt,ja
00OVoQviat4,True,True,3,Film & Animation,613,19485,20200801,UCkDOMUVqQ1_I-ru6OjasvvA,@kotodama1727,ja
