videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
0ANIcMAq6Pk,False,True,1,Education,1066,13264,20210119,UCPhNLu5UDcmPUFaJsknPpjg,@user-ps2ql3we6r,
0avGUN8GTJ8,False,True,1,Film & Animation,1908,50,20230131,UCQPjI7L7n0PyFoi4SAjIqcQ,@audiobookshaven,
0AZhmhHwVAo,False,True,1,People & Blogs,6216,30,20231105,UCeGHBOgj6RPaADtFpFD7B2g,@ReadByEar,
0b1FZmeQy1s,False,True,1,People & Blogs,550,3787,20230927,UCej2Blsq_K_Ib3krXfnS1Yg,@qqkxjspdd,
0B5GfYA-LJg,False,True,1,People & Blogs,39,1,20230401,UC4isFl6ehe0kiLXRW269G7w,@OneMinuteMovieReviews_,
-0b6fYnHAKo,False,True,1,Entertainment,948,22,20230604,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0b8IoRBuK5M,False,True,1,People & Blogs,39,21,20230402,UC4isFl6ehe0kiLXRW269G7w,@OneMinuteMovieReviews_,
0Bmu3Tfh-5A,False,True,1,Sports,448,10693,20230718,UCWKRkVz9uZu--se2ONC4ZOg,@bluewhale7777,
0bPerrqwWQw,False,True,1,People & Blogs,628,133,20220520,UCnFCimQqt7_b0jUO3ruOJrg,@Games-re9wn,
0cajjXQvMio,False,True,1,People & Blogs,174,294,20230315,UCnuwwCVOhtQOmyBX8qVSOIg,@Ammkiss,
0cB_ktT51MQ,False,True,1,News & Politics,219,6,20221116,UCzAcM-UVoLmJ3M4s1pCD_pA,@tippingpointnews7413,
0cd-h5Cu3gU,False,True,1,News & Politics,811,841,20210303,UCffbOgVsDNH29sCgX7EwpWA,@user-xx2cw7dr4g,
0CFhTQTfY8I,False,True,1,Science & Technology,590,1369,20230820,UCedNx9ifc5v7EUY9G-Y2FsA,@kjqsl,
0clHpXNocX4,False,True,1,Howto & Style,745,227,20230430,UCYtpSy1fuGglDNwgEqgL08A,@jinzhiliang1,
0CnyLoVBAgo,False,True,1,Gaming,430,47,20220210,UCP1oLxMb7djPYLlGCmzWONw,@merlin9589,
0CuZnG008lw,False,True,1,Sports,341,4499,20230924,UCWKRkVz9uZu--se2ONC4ZOg,@bluewhale7777,
